backend,level,dataset,metric,value
theano,sentence,testData-sent,pearson,0.20959133427178098
tensorflow,sentence,testData-sent,pearson,0.17672911147222845
theano,document,testData-doc,pearson,0.18057630478430176
tensorflow,document,testData-doc,pearson,0.24353273868533473
theano,word,testData-word,f1_prod,0.2433276360792337
tensorflow,word,testData-word,f1_prod,0.24527229173645096
theano,sentencePredict,testData-sent,pearson,0.21629943566952772
tensorflow,sentencePredict,testData-sent,pearson,0.1832040730294446
theano,wordPredict,testData-word,f1_prod,0.2542359200398694
tensorflow,wordPredict,testData-word,f1_prod,0.25517028216931437
theano,documentPredict,testData-doc,pearson,-0.08491845545164027
tensorflow,documentPredict,testData-doc,pearson,-0.11998211794398919
